a,ʔ aː 1
phạp,f aː p 6
phạt,f aː t 6
phất,f ə t 5
phật,f ə t 6
phấu,f ə w 5
phẫu,f ə w 4
phương,f ɨə ŋ 1
phường,f ɨə ŋ 2
phưởng,f ɨə ŋ 3
phượng,f ɨə ŋ 6
qua,k w aː 1
quai,k w aː j 1
quan,k w aː n 1
quang,k w aː ŋ 1
quy,k w i 1
quynh,k w i ŋ 1
quyên,k w iə n 1
quyến,k w iə n 5
quyền,k w iə n 2
quyển,k w iə n 3
quyện,k w iə n 6
quyết,k w iə t 5
quyệt,k w iə t 6
quá,k w aː 5
quách,k w ɛ k 5
quái,k w aː j 5
quán,k w aː n 5
quáng,k w aː ŋ 5
quánh,k w ɛ ŋ 5
quát,k w aː t 5
quân,k w ə n 1
quý,k w i 5
quýnh,k w i ŋ 5
quả,k w aː 3
quế,k w e 5
quệ,k w e 6
quỳ,k w i 2
quỵ,k w i 6
quỷ,k w i 3
quỹ,k w i 4
quắc,k w a k 5
quặc,k w a k 6
quốc,k w o k 5
quải,k w aː j 3
quản,k w aː n 3
quấn,k w ə n 5
quần,k w ə n 2
quẫn,k w ə n 4
quận,k w ə n 6
quăng,k w a ŋ 1
quảng,k w aː ŋ 3
quỳnh,k w i ŋ 2
quất,k w ə t 5
quật,k w ə t 6
sa,ʂ aː 1
sai,ʂ aː j 1
sam,ʂ aː m 1
san,ʂ aː n 1
sang,ʂ aː ŋ 1
sanh,ʂ ɛ ŋ 1
sao,ʂ aː w 1
si,ʂ i 1
sinh,ʂ i ŋ 1
siêu,ʂ iə w 1
siểm,ʂ iə m 3
siển,ʂ iə n 3
siếp,ʂ iə p 5
soan,ʂ w aː n 1
song,ʂ ɔ ŋ 1
soái,ʂ w aː j 5
soán,ʂ w aː n 5
soạn,ʂ w aː n 6
sung,ʂ u ŋ 1
suy,ʂ w i 1
suyễn,ʂ w iə n 4
suân,ʂ w ə n 1
suất,ʂ w ə t 5
sài,ʂ aː j 2
sàm,ʂ aː m 2
