汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
卉,Hủy,hwi3,問聲,huì,止,上,尾,曉,合,三,次清,許,偉,,,,,,,,,,,
半,Bán,ba:n5,銳聲,bàn,山,去,換,幫,合,一,全清,博,慢,,,,,,,,,,,
卌,Tấp,tɤp7,銳入,xì,深,入,緝,心,開,三,全清,先,立,,,,,,,,,,,
占,Chiêm,tʂiem1,平聲,zhān,咸,平,鹽,章,開,三,全清,職,廉,,,,,,,,,,,
占,Chiếm,tʂiem5,銳聲,zhàn,咸,去,豔,章,開,三,全清,章,豔,,,,,,,,,,,
卮,Chi,tʂi1,平聲,zhī,止,平,支,章,開,三,全清,章,移,,,,,,,,,,,
卯,Mão,ma:w4,跌聲,mǎo,效,上,巧,明,開,二,次濁,莫,飽,,,,,,,,,,,
去,Khử,xɯ3,問聲,qù,遇,上,語,溪,開,三,次清,羌,舉,,,,,,,,,,,
去,Khứ,xɯ5,銳聲,qù,遇,去,御,溪,開,三,次清,近,倨,,,,,,,,,,,
古,Cổ,ko3,問聲,gǔ,遇,上,姥,見,合,一,全清,公,戶,,,,,,,,,,,
句,Câu,kɤw1,平聲,gōu,流,平,侯,見,開,一,全清,古,侯,,,,,,,,,,,
句,Cú,ku5,銳聲,jù,遇,去,遇,見,合,三,全清,九,遇,,,,,,,,,,,
叨,Đao,da:w1,平聲,tāo,效,平,豪,透,開,一,次清,土,刀,,,,,,,,,,,
叩,Khấu,xɤw5,銳聲,kòu,流,上,厚,溪,開,一,次清,苦,后,,,,,,,,,,,
只,Chỉ,tʂi3,問聲,zhǐ,止,上,紙,章,開,三,全清,諸,氏,,,,,,,,,,,
叫,Khiếu,xiew5,銳聲,jiào,效,去,嘯,見,開,四,全清,古,弔,,,,,,,,,,,
召,Triệu,tʂiew6,重聲,zhào,效,去,笑,澄,開,三,全濁,直,照,,,,,,,,,,,
叮,Đinh,diɲ1,平聲,dīng,梗,平,青,端,開,四,全清,當,經,,,,,,,,,,,
可,Khả,xa:3,問聲,kě,果,上,哿,溪,開,一,次清,枯,我,,,,,,,,,,,
台,Di,zi1,平聲,yí,止,平,之,以,開,三,次濁,與,之,,,,,,,,,,,
台,Thai,t'a:j1,平聲,tái,蟹,平,咍,透,開,一,次清,土,來,,,,,,,,,,,
叱,Sất,ʂɤt5,銳入,chì,臻,入,質,昌,開,三,次清,昌,栗,,,,,,,,,,,
史,Sử,ʂɯ3,問聲,shǐ,止,上,止,生,開,三,全清,踈,士,,,,,,,,,,,
右,Hữu,hɯw4,跌聲,yòu,流,上,有,云,開,三,次濁,云,久,,,,,,,,,,,
叵,Phả,fa:3,問聲,pǒ,果,上,果,滂,合,一,次清,普,火,,,,,,,,,,,
叶,Hiệp,hiep8,重入,xié,咸,入,帖,匣,開,四,全濁,胡,頰,,,,,,,,,,,
司,Tư,tɯ1,平聲,sī,止,平,之,心,開,三,全清,息,茲,,,,,,,,,,,
囚,Tù,tu2,弦聲,qiú,流,平,尤,邪,開,三,全濁,似,由,,,,,,,,,,,
四,Tứ,tɯ5,銳聲,sì,止,去,至,心,開,三,全清,息,利,,,,,,,,,,,
外,Ngoại,ŋwa:j6,重聲,wài,蟹,去,泰,疑,合,一,次濁,五,會,,,,,,,,,,,
央,Ương,ɯɤŋ1,平聲,yāng,宕,平,陽,影,開,三,全清,於,良,,,,,,,,,,,
失,Thất,t'ɤt7,銳入,shī,臻,入,質,書,開,三,全清,式,質,,,,,,,,,,,
夲,Thao,t'a:w1,平聲,tāo,效,平,豪,透,開,一,次清,土,刀,,,,,,,,,,,
奴,Nô,no1,平聲,nú,遇,平,模,泥,合,一,次濁,乃,都,,,,,,,,,,,
孕,Dựng,zɯŋ6,重聲,yùn,曾,去,證,以,開,三,次濁,以,證,,,,,,,,,,,
宁,Trữ,tʂɯ4,跌聲,zhù,遇,上,語,澄,開,三,全濁,直,呂,,,,,,,,,,,
宂,Nhũng,ɲuŋ4,跌聲,rǒng,通,上,腫,日,合,三,次濁,而,隴,,,,,,,,,,,
它,Tha,t'a:1,平聲,tā,果,平,歌,透,開,一,次清,託,何,,,,,,,,,,,
宄,Quỹ,kwi4,跌聲,guǐ,止,上,旨,見,合,三,全清,居,洧,,,,,,,,,,,
尒,Nhĩ,ɲi4,跌聲,ěr,止,上,紙,日,開,三,次濁,兒,氏,,,,,,,,,,,
尻,Khào,xa:w2,弦聲,kāo,效,平,豪,溪,開,一,次清,苦,刀,,,,,,,,,,,
尼,Ni,ni1,平聲,ní,止,平,脂,娘,開,三,次濁,女,夷,,,,,,,,,,,
屴,Lực,lɯk8,重入,lì,曾,入,職,來,開,三,次濁,林,直,,,,,,,,,,,
左,Tả,ta:3,問聲,zuǒ,果,上,哿,精,開,一,全清,臧,可,,,,,,,,,,,
巧,Xảo,sa:w3,問聲,qiǎo,效,上,巧,溪,開,二,次清,苦,絞,,,,,,,,,,,
巨,Cự,kɯ6,重聲,jù,遇,上,語,羣,開,三,全濁,其,呂,,,,,,,,,,,
市,Thị,t'i6,重聲,shì,止,上,止,禪,開,三,全濁,時,止,,,,,,,,,,,
布,Bố,bo5,銳聲,bù,遇,去,暮,幫,合,一,全清,博,故,,,,,,,,,,,
平,Bình,biɲ2,弦聲,píng,梗,平,庚,並,開,三,全濁,符,兵,,,,,,,,,,,
幼,Ấu,ɤw5,銳聲,yòu,流,去,幼,影,開,三,全清,伊,謬,,,,,,,,,,,
庀,Phỉ,fi3,問聲,pǐ,止,上,紙,滂,開,三,次清,匹,婢,,,,,,,,,,,
弁,Biền,bien2,弦聲,biàn,山,去,線,並,合,三,全濁,皮,變,,,,,,,,,,,
弍,Nhị,ɲi6,重聲,èr,止,去,至,日,開,三,次濁,而,至,,,,,,,,,,,
弗,Phất,fɤt7,銳入,fú,臻,入,物,非,合,三,全清,分,勿,,,,,,,,,,,
弘,Hoằng,hwaŋ2,弦聲,hóng,曾,平,登,匣,合,一,全濁,胡,肱,,,,,,,,,,,
必,Tất,tɤt7,銳入,bì,臻,入,質,幫,開,三,全清,卑,吉,,,,,,,,,,,
忉,Đao,da:w1,平聲,dāo,效,平,豪,端,開,一,全清,都,牢,,,,,,,,,,,
戊,Mậu,mɤw6,重聲,wù,流,去,候,明,開,一,次濁,莫,候,,,,,,,,,,,
戹,Ách,a:ʧ7,銳入,è,梗,入,麥,影,開,二,全清,於,革,,,,,,,,,,,
扒,Bái,ba:j5,銳聲,bā,蟹,去,怪,幫,合,二,全清,博,怪,,,,,,,,,,,
打,Đả,da:3,問聲,dá,梗,上,梗,端,開,二,全清,德,冷,,,,,,,,,,,
扔,Nhưng,ɲɯŋ1,平聲,rēng,曾,平,蒸,日,開,三,次濁,如,乘,,,,,,,,,,,
扔,Nhận,ɲɤn6,重聲,rèng,曾,去,證,日,開,三,次濁,而,證,,,,,,,,,,,
斥,Xích,siʧ7,銳入,chì,梗,入,昔,昌,開,三,次清,昌,石,,,,,,,,,,,
旦,Đán,da:n5,銳聲,dàn,山,去,翰,端,開,一,全清,得,按,,,,,,,,,,,
未,Vị,vi6,重聲,wèi,止,去,未,微,合,三,次濁,無,沸,,,,,,,,,,,
末,Mạt,ma:t8,重入,mò,山,入,末,明,合,一,次濁,莫,撥,,,,,,,,,,,
本,Bổn,bon3,問聲,běn,臻,上,混,幫,合,一,全清,布,忖,,,,,,,,,,,
札,Trát,tʂa:t7,銳入,zhá,山,入,黠,莊,開,二,全清,側,八,,,,,,,,,,,
朮,Truật,tʂwɤt8,重入,zhú,臻,入,術,澄,合,三,全濁,直,律,,,,,,,,,,,
正,Chính,tʂiɲ5,銳聲,zhèng,梗,去,勁,章,開,三,全清,之,盛,,,,,,,,,,,
正,Chinh,tʂiɲ1,平聲,zhēng,梗,平,清,章,開,三,全清,諸,盈,,,,,,,,,,,
母,Mẫu,mɤw4,跌聲,mǔ,流,上,厚,明,開,一,次濁,莫,厚,,,,,,,,,,,
氐,Đê,de1,平聲,dī,蟹,平,齊,端,開,四,全清,都,奚,,,,,,,,,,,
民,Dân,zɤn1,平聲,mín,臻,平,真,明,開,三,次濁,彌,鄰,,,,,,,,,,,
永,Vĩnh,viɲ4,跌聲,yǒng,梗,上,梗,云,合,三,次濁,于,憬,,,,,,,,,,,
氾,Phiếm,fiem5,銳聲,fàn,咸,去,梵,敷,合,三,次清,孚,梵,,,,,,,,,,,
汀,Đinh,diɲ1,平聲,tīng,梗,平,青,透,開,四,次清,他,丁,,,,,,,,,,,
汁,Trấp,tʂɤp7,銳入,zhī,深,入,緝,章,開,三,全清,之,入,,,,,,,,,,,
犯,Phạm,fa:m6,重聲,fàn,咸,上,范,奉,合,三,全濁,防,錽,,,,,,,,,,,
玄,Huyền,hwien2,弦聲,xuán,山,平,先,匣,合,四,全濁,胡,涓,,,,,,,,,,,
玉,Ngọc,ŋɔk8,重入,yù,通,入,燭,疑,合,三,次濁,魚,欲,,,,,,,,,,,
瓜,Qua,qwa:1,平聲,guā,假,平,麻,見,合,二,全清,古,華,,,,,,,,,,,
甘,Cam,ka:m1,平聲,gān,咸,平,談,見,開,一,全清,古,三,,,,,,,,,,,
生,Sinh,ʂiɲ1,平聲,shēng,梗,平,庚,生,開,二,全清,所,庚,,,,,,,,,,,
用,Dụng,zuŋ6,重聲,yòng,通,去,用,以,合,三,次濁,余,頌,,,,,,,,,,,
田,Điền,dien2,弦聲,tián,山,平,先,定,開,四,全濁,徒,年,,,,,,,,,,,
由,Do,zɔ1,平聲,yóu,流,平,尤,以,開,三,次濁,以,周,,,,,,,,,,,
甲,Giáp,ʑa:p7,銳入,jiǎ,咸,入,狎,見,開,二,全清,古,狎,,,,,,,,,,,
申,Thân,t'ɤn1,平聲,shēn,臻,平,真,書,開,三,全清,失,人,,,,,,,,,,,
疋,Nhã,ɲa:4,跌聲,pǐ,假,上,馬,疑,開,二,次濁,五,下,,,,,,,,,,,
疋,Sơ,ʂɤ:1,平聲,pǐ,遇,平,魚,生,開,三,全清,所,葅,,,,,,,,,,,
疒,Nạch,na:ʧ8,重入,nè,梗,入,麥,娘,開,二,次濁,尼,戹,,,,,,,,,,,
癶,Bát,ba:t7,銳入,bō,山,入,末,幫,合,一,全清,北,末,,,,,,,,,,,
白,Bạch,ba:ʧ8,重入,bái,梗,入,陌,並,開,二,全濁,傍,陌,,,,,,,,,,,
皮,Bì,bi2,弦聲,pí,止,平,支,並,開,三,全濁,符,羈,,,,,,,,,,,
皿,Mãnh,ma:ɲ4,跌聲,mǐn,梗,上,梗,明,開,三,次濁,武,永,,,,,,,,,,,
目,Mục,muk8,重入,mù,通,入,屋,明,合,三,次濁,莫,六,,,,,,,,,,,
矛,Mâu,mɤw1,平聲,máo,流,平,尤,明,開,三,次濁,莫,浮,,,,,,,,,,,
矢,Thỉ,t'i3,問聲,shǐ,止,上,旨,書,開,三,全清,式,視,,,,,,,,,,,
石,Thạch,t'a:ʧ8,重入,shí,梗,入,昔,禪,開,三,全濁,常,隻,,,,,,,,,,,
示,Kì,ki2,弦聲,qí,止,平,支,羣,開,三,全濁,巨,支,,,,,,,,,,,
示,Thị,t'i6,重聲,shì,止,去,至,船,開,三,全濁,神,至,,,,,,,,,,,
禾,Hòa,hwa:2,弦聲,hé,果,平,戈,匣,合,一,全濁,戶,戈,,,,,,,,,,,
穴,Huyệt,hwiet8,重入,xué,山,入,屑,匣,合,四,全濁,胡,決,,,,,,,,,,,
立,Lập,lɤp8,重入,lì,深,入,緝,來,開,三,次濁,力,入,,,,,,,,,,,
艽,Giao,ʑa:w1,平聲,jiāo,效,平,肴,見,開,二,全清,古,肴,,,,,,,,,,,
艽,Cừu,kɯw2,弦聲,qiú,流,平,尤,羣,開,三,全濁,巨,鳩,,,,,,,,,,,
邘,Vu,vu1,平聲,yú,遇,平,虞,云,合,三,次濁,羽,俱,,,,,,,,,,,
邙,Mang,ma:ŋ1,平聲,máng,宕,平,唐,明,開,一,次濁,莫,郎,,,,,,,,,,,
邛,Cung,kuŋ1,平聲,qióng,通,平,鍾,羣,合,三,全濁,渠,容,,,,,,,,,,,
阡,Thiên,t'ien1,平聲,qiān,山,平,先,清,開,四,次清,蒼,先,,,,,,,,,,,
阤,Đà,da:2,弦聲,tuó,止,上,紙,澄,開,三,全濁,池,爾,,,,,,,,,,,
丞,Thừa,t'ɯɤ2,弦聲,chéng,曾,平,蒸,禪,開,三,全濁,署,陵,,,,,,,,,,,
丞,Chưng,tʂɯŋ1,平聲,chéng,曾,平,蒸,禪,開,三,全濁,署,陵,,,,,,,,,,,
乩,Kê,ke1,平聲,jī,蟹,平,齊,見,開,四,全清,古,奚,,,,,,,,,,,
亙,Cắng,kaŋ5,銳聲,gèng,曾,去,嶝,見,開,一,全清,古,鄧,,,,,,,,,,,
交,Giao,ʑa:w1,平聲,jiāo,效,平,肴,見,開,二,全清,古,肴,,,,,,,,,,,
亥,Hợi,hɤ:j6,重聲,hài,蟹,上,海,匣,開,一,全濁,胡,改,,,,,,,,,,,
亦,Diệc,ziek8,重入,yì,梗,入,昔,以,開,三,次濁,羊,益,,,,,,,,,,,
仰,Ngưỡng,ŋɯɤŋ4,跌聲,yǎng,宕,上,養,疑,開,三,次濁,魚,兩,,,,,,,,,,,
仲,Trọng,tʂɔŋ6,重聲,zhòng,通,去,送,澄,合,三,全濁,直,眾,,,,,,,,,,,
仳,Tỉ,ti3,問聲,pǐ,止,上,紙,滂,開,三,次清,匹,婢,,,,,,,,,,,
仵,Ngỗ,ŋo4,跌聲,wǔ,遇,上,姥,疑,合,一,次濁,疑,古,,,,,,,,,,,
件,Kiện,kien6,重聲,jiàn,山,上,獮,羣,開,三,全濁,其,輦,,,,,,,,,,,
任,Nhậm,ɲɤm6,重聲,rèn,深,去,沁,日,開,三,次濁,汝,鴆,,,,,,,,,,,
份,Phân,fɤn1,平聲,fèn,臻,平,真,幫,開,三,全清,府,巾,,,,,,,,,,,
仿,Phảng,fa:ŋ3,問聲,fǎng,宕,上,養,敷,開,三,次清,妃,兩,,,,,,,,,,,
企,Xí,si5,銳聲,qǐ,止,去,寘,溪,開,三,次清,去,智,,,,,,,,,,,
伃,Dư,zɯ1,平聲,yú,遇,平,魚,以,開,三,次濁,以,諸,,,,,,,,,,,
伉,Kháng,xa:ŋ5,銳聲,kàng,宕,去,宕,溪,開,一,次清,苦,浪,,,,,,,,,,,
伊,Y,i1,平聲,yī,止,平,脂,影,開,三,全清,於,脂,,,,,,,,,,,
伋,Cấp,kɤp7,銳入,jí,深,入,緝,見,開,三,全清,居,立,,,,,,,,,,,
伍,Ngũ,ŋu4,跌聲,wǔ,遇,上,姥,疑,合,一,次濁,疑,古,,,,,,,,,,,
伎,Kĩ,ki4,跌聲,jì,止,上,紙,羣,開,三,全濁,渠,綺,,,,,,,,,,,
伏,Phục,fuk8,重入,fú,通,入,屋,奉,合,三,全濁,房,六,,,,,,,,,,,
伐,Phạt,fa:t8,重入,fá,山,入,月,奉,合,三,全濁,房,越,,,,,,,,,,,
休,Hưu,hɯw1,平聲,xiū,流,平,尤,曉,開,三,次清,許,尤,,,,,,,,,,,
充,Sung,ʂuŋ1,平聲,chōng,通,平,東,昌,合,三,次清,昌,終,,,,,,,,,,,
兆,Triệu,tʂiew6,重聲,zhào,效,上,小,澄,開,三,全濁,治,小,,,,,,,,,,,
兇,Hung,huŋ1,平聲,xiōng,通,平,鍾,曉,合,三,次清,許,容,,,,,,,,,,,
先,Tiên,tien1,平聲,xiān,山,平,先,心,開,四,全清,蘇,前,,,,,,,,,,,
光,Quang,kwa:ŋ1,平聲,guāng,宕,平,唐,見,合,一,全清,古,黃,,,,,,,,,,,
全,Toàn,twa:n2,弦聲,quán,山,平,仙,從,合,三,全濁,疾,緣,,,,,,,,,,,
共,Cộng,koŋ6,重聲,gòng,通,去,用,羣,合,三,全濁,渠,用,,,,,,,,,,,
再,Tái,ta:j5,銳聲,zài,蟹,去,代,精,開,一,全清,作,代,,,,,,,,,,,
冰,Băng,baŋ1,平聲,bīng,曾,平,蒸,幫,開,三,全清,筆,陵,,,,,,,,,,,
冱,Hộ,ho6,重聲,hù,遇,去,暮,匣,合,一,全濁,胡,誤,,,,,,,,,,,
冲,Xung,suŋ1,平聲,chōng,通,平,鍾,昌,合,三,次清,尺,容,,,,,,,,,,,
刎,Vẫn,vɤn4,跌聲,wěn,臻,上,吻,微,合,三,次濁,武,粉,,,,,,,,,,,
刑,Hình,hiɲ2,弦聲,xíng,梗,平,青,匣,開,四,全濁,戶,經,,,,,,,,,,,
刓,Ngoan,ŋwa:n1,平聲,wán,山,平,桓,疑,合,一,次濁,五,丸,,,,,,,,,,,
刖,Ngoạt,ŋwa:t8,重入,yuè,山,入,鎋,疑,合,二,次濁,五,刮,,,,,,,,,,,
列,Liệt,liet8,重入,liè,山,入,薛,來,開,三,次濁,良,辥,,,,,,,,,,,
劣,Liệt,liet8,重入,liè,山,入,薛,來,合,三,次濁,力,輟,,,,,,,,,,,
匈,Hung,huŋ1,平聲,xiōng,通,平,鍾,曉,合,三,次清,許,容,,,,,,,,,,,
匠,Tượng,tɯɤŋ6,重聲,jiàng,宕,去,漾,從,開,三,全濁,疾,亮,,,,,,,,,,,
匡,Khuông,xuoŋ1,平聲,kuāng,宕,平,陽,溪,合,三,次清,去,王,,,,,,,,,,,
印,Ấn,ɤn5,銳聲,yìn,臻,去,震,影,開,三,全清,於,刃,,,,,,,,,,,
危,Nguy,ŋwi1,平聲,wēi,止,平,支,疑,合,三,次濁,魚,為,,,,,,,,,,,
吁,Hu,hu1,平聲,xū,遇,平,虞,曉,合,三,次清,況,于,,,,,,,,,,,
吃,Ngật,ŋɤt8,重入,chī,臻,入,迄,見,開,三,全清,居,乞,,,,,,,,,,,
各,Các,ka:k7,銳入,gè,宕,入,鐸,見,開,一,全清,古,落,,,,,,,,,,,
合,Hợp,hɤ:p8,重入,hé,咸,入,合,匣,開,一,全濁,侯,閤,,,,,,,,,,,
吉,Cát,ka:t7,銳入,jí,臻,入,質,見,開,三,全清,居,質,,,,,,,,,,,
同,Đồng,doŋ2,弦聲,tóng,通,平,東,定,合,一,全濁,徒,紅,,,,,,,,,,,
名,Danh,za:ɲ1,平聲,míng,梗,平,清,明,開,三,次濁,武,并,,,,,,,,,,,
后,Hậu,hɤw6,重聲,hòu,流,去,候,匣,開,一,全濁,胡,遘,,,,,,,,,,,
吏,Lại,la:j6,重聲,lì,止,去,志,來,開,三,次濁,力,置,,,,,,,,,,,
吐,Thổ,t'o3,問聲,tǔ,遇,上,姥,透,合,一,次清,他,魯,,,,,,,,,,,
向,Hướng,hɯɤŋ5,銳聲,xiàng,宕,去,漾,曉,開,三,次清,許,亮,,,,,,,,,,,
吒,Trá,tʂa5,銳聲,zhà,假,去,禡,知,開,二,全清,陟,駕,,,,,,,,,,,
回,Hồi,hoj2,弦聲,huí,蟹,平,灰,匣,合,一,全濁,戶,恢,,,,,,,,,,,
囟,Tín,tin5,銳聲,xìn,臻,去,震,心,開,三,全清,息,晉,,,,,,,,,,,
因,Nhân,ɲɤn1,平聲,yīn,臻,平,真,影,開,三,全清,於,真,,,,,,,,,,,
在,Tại,ta:j6,重聲,zài,蟹,去,代,從,開,一,全濁,昨,代,,,,,,,,,,,
圬,Ô,o1,平聲,wū,遇,平,模,影,合,一,全清,哀,都,,,,,,,,,,,
圭,Khuê,xwe1,平聲,guī,蟹,平,齊,見,合,四,全清,古,攜,,,,,,,,,,,
圮,Bĩ,bi4,跌聲,pǐ,止,上,旨,並,開,三,全濁,符,鄙,,,,,,,,,,,
圯,Di,zi1,平聲,yí,止,平,之,以,開,三,次濁,與,之,,,,,,,,,,,
地,Địa,die6,重聲,dì,止,去,至,定,開,三,全濁,徒,四,,,,,,,,,,,
壮,Tráng,tʂa:ŋ5,銳聲,zhuàng,宕,去,漾,莊,開,三,全清,側,亮,,,,,,,,,,,
夙,Túc,tuk7,銳入,sù,通,入,屋,心,合,三,全清,息,逐,,,,,,,,,,,
多,Đa,da:1,平聲,duō,果,平,歌,端,開,一,全清,得,何,,,,,,,,,,,
夷,Di,zi1,平聲,yí,止,平,脂,以,開,三,次濁,以,脂,,,,,,,,,,,
夸,Khoa,xwa:1,平聲,kuā,假,平,麻,溪,合,二,次清,苦,瓜,,,,,,,,,,,
奼,Xá,sa:5,銳聲,chà,假,去,禡,知,開,二,全清,陟,駕,,,,,,,,,,,
好,Hảo,ha:w3,問聲,hǎo,效,上,晧,曉,開,一,次清,呼,晧,,,,,,,,,,,
好,Hiếu,hiew5,銳聲,hào,效,去,號,曉,開,一,次清,呼,到,,,,,,,,,,,
妁,Chước,tʂɯɤk7,銳入,shuò,宕,入,藥,章,開,三,全清,之,若,,,,,,,,,,,
如,Như,ɲɯ1,平聲,rú,遇,平,魚,日,開,三,次濁,人,諸,,,,,,,,,,,
妃,Phi,fi1,平聲,fēi,止,平,微,敷,合,三,次清,芳,非,,,,,,,,,,,
妄,Vọng,vɔŋ6,重聲,wàng,宕,去,漾,微,開,三,次濁,巫,放,,,,,,,,,,,
字,Tự,tɯ6,重聲,zì,止,去,志,從,開,三,全濁,疾,置,,,,,,,,,,,
存,Tồn,ton2,弦聲,cún,臻,平,魂,從,合,一,全濁,徂,尊,,,,,,,,,,,
孙,Tôn,ton1,平聲,sūn,臻,平,魂,心,合,一,全清,思,渾,,,,,,,,,,,
宅,Trạch,tʂa:ʧ8,重入,zhái,梗,入,陌,澄,開,二,全濁,場,伯,,,,,,,,,,,
宇,Vũ,vu4,跌聲,yǔ,遇,上,麌,云,合,三,次濁,王,矩,,,,,,,,,,,
守,Thủ,t'u3,問聲,shǒu,流,上,有,書,開,三,全清,書,九,,,,,,,,,,,
守,Thú,t'u5,銳聲,shǒu,流,去,宥,書,開,三,全清,舒,救,,,,,,,,,,,
安,An,a:n1,平聲,ān,山,平,寒,影,開,一,全清,烏,寒,,,,,,,,,,,
寺,Tự,tɯ6,重聲,sì,止,去,志,邪,開,三,全濁,祥,吏,,,,,,,,,,,
尖,Tiêm,tiem1,平聲,jiān,咸,平,鹽,精,開,三,全清,子,廉,,,,,,,,,,,
屹,Ngật,ŋɤt8,重入,yì,臻,入,迄,疑,開,三,次濁,魚,迄,,,,,,,,,,,
屺,Dĩ,zi4,跌聲,qǐ,止,上,止,溪,開,三,次清,墟,里,,,,,,,,,,,
屼,Ngột,ŋot8,重入,wù,臻,入,沒,疑,合,一,次濁,五,忽,,,,,,,,,,,
岌,Ngập,ŋɤp8,重入,jí,深,入,緝,疑,開,三,次濁,魚,及,,,,,,,,,,,
州,Châu,tʂɤw1,平聲,zhōu,流,平,尤,章,開,三,全清,職,流,,,,,,,,,,,
巡,Tuần,twɤn2,弦聲,xún,臻,平,諄,邪,合,三,全濁,詳,遵,,,,,,,,,,,
帆,Phàm,fa:m2,弦聲,fán,咸,平,凡,奉,合,三,全濁,符,䒦,,,,,,,,,,,
年,Niên,nien1,平聲,nián,山,平,先,泥,開,四,次濁,奴,顛,,,,,,,,,,,
延,Diên,zien1,平聲,yán,山,平,仙,以,開,三,次濁,以,然,,,,,,,,,,,
廷,Đình,diɲ2,弦聲,tíng,梗,平,青,定,開,四,全濁,特,丁,,,,,,,,,,,
弎,Tam,ta:m1,平聲,sān,咸,平,談,心,開,一,全清,蘇,甘,,,,,,,,,,,
式,Thức,t'ɯk7,銳入,shì,曾,入,職,書,開,三,全清,賞,職,,,,,,,,,,,
弛,Thỉ,t'i3,問聲,chí,止,上,紙,書,開,三,全清,施,是,,,,,,,,,,,
忖,Thốn,t'on5,銳聲,cǔn,臻,上,混,清,合,一,次清,倉,本,,,,,,,,,,,
忙,Mang,ma:ŋ1,平聲,máng,宕,平,唐,明,開,一,次濁,莫,郎,,,,,,,,,,,
戌,Tuất,twɤt7,銳入,xū,臻,入,術,心,合,三,全清,辛,聿,,,,,,,,,,,
戍,Thú,t'u5,銳聲,shù,遇,去,遇,書,合,三,全清,傷,遇,,,,,,,,,,,
戎,Nhung,ɲuŋ1,平聲,róng,通,平,東,日,合,三,次濁,如,融,,,,,,,,,,,
成,Thành,t'a:ɲ2,弦聲,chéng,梗,平,清,禪,開,三,全濁,是,征,,,,,,,,,,,
扛,Giang,ʑa:ŋ1,平聲,káng,江,平,江,見,開,二,全清,古,雙,,,,,,,,,,,
扞,Hãn,ha:n4,跌聲,hàn,山,去,翰,匣,開,一,全濁,侯,旰,,,,,,,,,,,
扢,Cột,kot8,重入,gē,臻,入,沒,見,合,一,全清,古,忽,,,,,,,,,,,
扣,Khấu,xɤw5,銳聲,kòu,流,去,候,溪,開,一,次清,苦,候,,,,,,,,,,,
扱,Tráp,tʂa:p7,銳入,chā,咸,入,洽,初,開,二,次清,楚,洽,,,,,,,,,,,
收,Thu,t'u1,平聲,shōu,流,平,尤,書,開,三,全清,式,州,,,,,,,,,,,
攷,Khảo,xa:w3,問聲,kǎo,效,上,晧,溪,開,一,次清,苦,浩,,,,,,,,,,,
旨,Chỉ,tʂi3,問聲,zhǐ,止,上,旨,章,開,三,全清,職,雉,,,,,,,,,,,
早,Tảo,ta:w3,問聲,zǎo,效,上,晧,精,開,一,全清,子,晧,,,,,,,,,,,
旬,Tuần,twɤn2,弦聲,xún,臻,平,諄,邪,合,三,全濁,詳,遵,,,,,,,,,,,
旭,Húc,huk7,銳入,xù,通,入,燭,曉,合,三,次清,許,玉,,,,,,,,,,,
曲,Khúc,xuk7,銳入,qǔ,通,入,燭,溪,合,三,次清,丘,玉,,,,,,,,,,,
有,Hữu,hɯw4,跌聲,yǒu,流,上,有,云,開,三,次濁,云,久,,,,,,,,,,,
朱,Chu,tʂu1,平聲,zhū,遇,平,虞,章,合,三,全清,章,俱,,,,,,,,,,,
朴,Phác,fa:k7,銳入,pò,江,入,覺,滂,開,二,次清,匹,角,,,,,,,,,,,
朵,Đóa,dwa:5,銳聲,duǒ,果,上,果,端,合,一,全清,丁,果,,,,,,,,,,,
朽,Hủ,hu3,問聲,xiǔ,流,上,有,曉,開,三,次清,許,久,,,,,,,,,,,
次,Thứ,t'ɯ5,銳聲,cì,止,去,至,清,開,三,次清,七,四,,,,,,,,,,,
此,Thử,t'ɯ3,問聲,cǐ,止,上,紙,清,開,三,次清,雌,氏,,,,,,,,,,,
死,Tử,tɯ3,問聲,sǐ,止,上,旨,心,開,三,全清,息,姊,,,,,,,,,,,
汊,Xá,sa:5,銳聲,chà,蟹,去,卦,初,開,二,次清,楚,懈,,,,,,,,,,,
汍,Hoàn,hwa:n2,弦聲,wán,山,平,桓,匣,合,一,全濁,胡,官,,,,,,,,,,,
汎,Phiếm,fiem5,銳聲,fàn,咸,去,梵,敷,合,三,次清,孚,梵,,,,,,,,,,,
汐,Tịch,tiʧ8,重入,xì,梗,入,昔,邪,開,三,全濁,祥,易,,,,,,,,,,,
汕,Sán,ʂa:n5,銳聲,shàn,山,去,諫,生,開,二,全清,所,晏,,,,,,,,,,,
汗,Hãn,ha:n4,跌聲,hàn,山,去,翰,匣,開,一,全濁,侯,旰,,,,,,,,,,,
汙,Ố,o5,銳聲,wù,遇,去,暮,影,合,一,全清,烏,路,,,,,,,,,,,
汛,Tấn,tɤn5,銳聲,xùn,臻,去,震,心,開,三,全清,息,晉,,,,,,,,,,,
汜,Tỉ,ti3,問聲,sì,止,上,止,邪,開,三,全濁,詳,里,,,,,,,,,,,
汝,Nhữ,ɲɯ4,跌聲,rǔ,遇,上,語,日,開,三,次濁,人,渚,,,,,,,,,,,
江,Giang,ʑa:ŋ1,平聲,jiāng,江,平,江,見,開,二,全清,古,雙,,,,,,,,,,,
池,Trì,tʂi2,弦聲,chí,止,平,支,澄,開,三,全濁,直,離,,,,,,,,,,,
污,Ô,o1,平聲,wū,遇,平,模,影,合,一,全清,哀,都,,,,,,,,,,,
